Species,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14,Rank_15,Rank_16,Rank_17,Rank_18,Rank_19,Rank_20,Rank_21,Rank_22,Rank_23,Rank_24,Rank_25
Acanthamoeba polyphaga mimivirus,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Megamimivirinae,Mimivirus,Mimivirus bradfordmassiliense,,,,,,,,,,,,,,,
Acaryochloris marina,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Acaryochloridales,Acaryochloridaceae,Acaryochloris,,,,,,,,,,,,,,,,
Acetoanaerobium sticklandii,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,,,,,,,,,,,,,,,,,
Acetobacter aceti,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter subgen. Acetobacter,,,,,,,,,,,,,,,,
Acetobacter pasteurianus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,,,,,,,,,,,,,,,,,
Acetobacter persici,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,,,,,,,,,,,,,,,,,
Acetobacter pomorum,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,,,,,,,,,,,,,,,,,
Acetobacter senegalensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,,,,,,,,,,,,,,,,,
Acetobacter sp. SLV-7,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,,,,,,,,,,,,,,,,,
Acetobacter tropicalis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,,,,,,,,,,,,,,,,,
Acetobacterium woodii,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,,,,,,,,,,,,,,,,,
Acetomicrobium mobile,cellular organisms,Bacteria,Thermotogati,Synergistota,Synergistia,Synergistales,Acetomicrobiaceae,Acetomicrobium,,,,,,,,,,,,,,,,,
Acholeplasma brassicae,cellular organisms,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Paracholeplasma,,,,,,,,,,,,,,,,,
Acholeplasma laidlawii,cellular organisms,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,,,,,,,,,,,,
