,predicted_lat,predicted_lon,true_latitude,true_longitude
0,26.899895,123.28257,25.109468,121.51903
1,50.477913,0.23561998,51.51204,-0.2242216
2,9.601509,5.384605,8.457599,4.576811
3,46.252094,8.712907,40.74927,-73.93766
4,23.03624,115.9674,22.3357,114.174225
5,24.455652,115.76656,64.83778,-147.71638
6,42.96744,-65.66212,40.714268,-74.00597
7,41.378693,-56.668625,40.714268,-74.00597
8,36.712265,39.520313,46.999996,7.9999986
9,35.139286,130.33481,37.513325,127.10028
10,50.403824,4.9146028,51.55239,-0.2968218
11,33.733574,133.67854,35.639973,139.63144
12,51.110916,3.6889021,51.516273,-0.13085666
13,-17.436724,-67.54673,-33.517162,-70.658676
14,14.051862,110.03732,-23.547499,-46.636105
15,52.184196,14.359927,48.870945,2.3458247
16,22.879637,115.63131,22.278934,114.16562
17,50.494728,3.3994205,51.515377,-0.17536595
18,50.61806,9.886452,64.83778,-147.71638
19,8.830718,5.357385,8.156011,4.726215
20,9.247539,7.080008,8.457633,4.5768003
21,23.053574,115.60065,22.252327,113.86066
22,23.300243,115.395386,22.395294,114.199646
23,39.152344,-74.06689,40.697052,-73.93551
24,34.43395,136.01616,35.639973,139.63144
25,34.44532,130.98647,37.496586,127.028244
26,55.8101,17.498087,59.332573,18.0649
27,38.221764,-74.45419,40.700367,-73.807686
28,33.408092,118.433945,21.0,104.99999
29,50.57172,3.6891844,51.576553,0.06610486
30,38.90628,-74.02028,40.71317,-74.00339
31,51.2528,1.3443017,51.530067,-0.29297352
32,50.981686,1.5720347,51.49437,-0.2677157
33,54.077103,16.973475,59.930317,10.714496
34,23.14351,115.399155,22.289392,114.21957
35,57.894184,-145.75664,52.5167,13.440737
36,41.568165,-65.64658,40.714268,-74.00597
37,23.367771,116.89435,22.302973,114.1822
38,40.597748,4.559851,41.388786,2.158991
39,42.263332,-66.38979,40.714268,-74.00597
40,40.943245,3.923097,51.55675,-0.17820318
41,51.03757,3.7279682,51.602734,-0.2641698
42,39.37179,-72.55704,40.77948,-73.95548
43,22.928741,115.59021,22.275692,114.168945
44,23.02985,115.429695,22.430855,114.237366
45,35.131283,130.4844,37.49738,127.02744
46,19.115013,155.69872,-23.565125,-46.637604
47,-9.167399,158.70074,44.97356,-93.23092
48,50.919327,3.1698976,51.609547,-0.18844645
49,41.897343,-64.53051,40.714268,-74.00597
50,9.149169,5.449703,8.456204,4.575764
51,40.47598,-5.6893024,41.149605,-8.610991
52,9.157216,5.769989,8.456637,4.576939
53,39.317333,21.26288,46.999996,7.9999986
54,50.723248,3.2183523,51.523125,-0.15688215
55,36.196365,132.45241,35.64018,139.63152
56,40.08639,7.057136,41.388786,2.158991
57,34.048977,-107.05252,41.149605,-8.610991
58,38.128277,33.84038,50.454655,30.523796
59,22.188732,114.29381,25.319746,51.512295
60,59.51694,-148.80441,64.83778,-147.71638
61,4.1316724,50.800087,8.45753,4.577547
62,9.406117,5.729186,8.458977,4.577719
63,48.124996,16.470308,46.999996,7.9999986
64,35.725815,137.6438,38.242874,140.84319
65,41.62172,-66.26442,51.526863,-0.024809513
66,55.470234,18.16672,59.949394,10.765919
67,38.244755,-171.99889,64.83778,-147.71638
68,23.25396,115.326614,22.284204,114.038055
69,31.194155,127.09807,50.454655,30.523796
70,41.340736,-66.325035,51.475166,-0.20120765
71,8.830937,5.424299,8.456516,4.5768
72,38.66895,-89.81832,39.30214,-76.624176
73,40.85456,-70.685,39.837696,-104.67608
74,51.16581,3.7753203,51.525665,-0.08754061
75,9.119465,5.553629,8.459403,4.577392
76,50.457195,4.0639853,51.591793,0.027320625
77,30.141657,127.95334,25.041523,121.543785
78,8.976566,5.5562835,8.4574795,4.5773716
79,23.076902,115.56246,8.457672,4.576813
80,23.310726,115.38906,22.395533,114.19973
81,41.784935,-65.91434,51.509132,-0.19651797
82,9.165747,5.930248,8.457456,4.5769567
83,52.936157,-4.538419,51.515198,-0.14175372
84,22.889717,115.63873,22.336798,114.17611
85,34.84271,130.87743,37.55404,126.97441
86,9.490169,5.7570677,8.457819,4.5782695
87,26.349998,115.779594,42.72804,23.300804
88,40.60574,-68.39322,51.512295,-0.18800958
