iter	Passed	Remaining
0	41	12460
1	75	11281
2	108	10729
3	141	10461
4	173	10237
5	206	10140
6	239	10029
7	272	9953
8	305	9886
9	339	9834
10	372	9784
11	407	9769
12	442	9772
13	478	9769
14	511	9714
15	544	9665
16	577	9605
17	611	9577
18	644	9528
19	677	9478
20	709	9423
21	741	9372
22	774	9322
23	806	9274
24	840	9246
25	874	9214
26	906	9167
27	940	9132
28	974	9110
29	1008	9079
30	1043	9052
31	1076	9012
32	1109	8977
33	1142	8934
34	1174	8894
35	1207	8853
36	1239	8810
37	1271	8764
38	1303	8724
39	1337	8692
40	1369	8648
41	1402	8614
42	1435	8578
43	1467	8539
44	1502	8516
45	1535	8479
46	1569	8449
47	1602	8411
48	1635	8376
49	1668	8340
50	1700	8303
51	1732	8263
52	1764	8223
53	1797	8190
54	1829	8151
55	1861	8111
56	1893	8072
57	1925	8034
58	1958	7999
59	1990	7961
60	2023	7926
61	2055	7889
62	2087	7852
63	2120	7817
64	2152	7782
65	2185	7749
66	2217	7711
67	2251	7681
68	2283	7644
69	2315	7609
70	2347	7571
71	2380	7538
72	2413	7505
73	2445	7469
74	2479	7437
75	2513	7407
76	2546	7373
77	2578	7338
78	2611	7304
79	2645	7275
80	2679	7244
81	2711	7209
82	2744	7175
83	2776	7139
84	2808	7102
85	2841	7071
86	2873	7034
87	2905	7000
88	2937	6964
89	2971	6932
90	3003	6898
91	3035	6861
92	3067	6828
93	3100	6794
94	3132	6759
95	3164	6725
96	3198	6693
97	3230	6659
98	3264	6627
99	3299	6598
100	3334	6569
101	3369	6541
102	3403	6510
103	3436	6477
104	3469	6443
105	3503	6412
106	3537	6380
107	3569	6345
108	3603	6314
109	3636	6280
110	3668	6246
111	3701	6212
112	3733	6178
113	3769	6149
114	3804	6120
115	3838	6088
116	3873	6059
117	3907	6027
118	3941	5995
119	3975	5962
120	4007	5928
121	4039	5893
122	4071	5859
123	4104	5825
124	4136	5790
125	4168	5757
126	4202	5724
127	4235	5691
128	4269	5659
129	4300	5624
130	4332	5589
131	4364	5554
132	4395	5519
133	4427	5484
134	4460	5452
135	4493	5418
136	4524	5383
137	4557	5349
138	4589	5315
139	4622	5282
140	4655	5249
141	4686	5214
142	4718	5180
143	4750	5146
144	4783	5113
145	4816	5080
146	4850	5048
147	4882	5014
148	4915	4981
149	4947	4947
150	4980	4914
151	5013	4881
152	5046	4848
153	5079	4815
154	5112	4782
155	5146	4750
156	5178	4716
157	5212	4684
158	5246	4652
159	5279	4619
160	5311	4585
161	5344	4552
162	5375	4518
163	5408	4485
164	5441	4451
165	5473	4418
166	5505	4384
167	5536	4350
168	5569	4316
169	5600	4282
170	5634	4250
171	5668	4218
172	5700	4184
173	5734	4152
174	5767	4119
175	5800	4086
176	5831	4052
177	5865	4020
178	5898	3987
179	5932	3954
180	5964	3921
181	5999	3889
182	6032	3856
183	6066	3824
184	6098	3790
185	6131	3757
186	6165	3725
187	6201	3694
188	6237	3663
189	6272	3631
190	6309	3600
191	6345	3569
192	6378	3536
193	6412	3503
194	6443	3469
195	6476	3436
196	6510	3403
197	6544	3371
198	6576	3338
199	6608	3304
200	6641	3271
201	6674	3238
202	6706	3204
203	6740	3171
204	6772	3138
205	6805	3105
206	6838	3072
207	6872	3039
208	6905	3006
209	6937	2973
210	6968	2939
211	7001	2906
212	7034	2873
213	7065	2839
214	7099	2806
215	7132	2773
216	7164	2740
217	7195	2706
218	7228	2673
219	7261	2640
220	7293	2607
221	7327	2574
222	7359	2541
223	7392	2508
224	7424	2474
225	7456	2441
226	7489	2408
227	7522	2375
228	7554	2342
229	7587	2309
230	7619	2275
231	7650	2242
232	7682	2209
233	7714	2175
234	7747	2142
235	7780	2109
236	7815	2077
237	7848	2044
238	7881	2011
239	7914	1978
240	7948	1945
241	7981	1913
242	8014	1879
243	8048	1847
244	8081	1814
245	8112	1780
246	8145	1747
247	8177	1714
248	8211	1681
249	8247	1649
250	8283	1617
251	8316	1584
252	8352	1551
253	8386	1518
254	8420	1486
255	8455	1453
256	8488	1420
257	8521	1387
258	8552	1353
259	8585	1320
260	8617	1287
261	8650	1254
262	8683	1221
263	8714	1188
264	8746	1155
265	8778	1122
266	8811	1089
267	8843	1055
268	8875	1022
269	8908	989
270	8941	956
271	8973	923
272	9006	890
273	9040	857
274	9072	824
275	9104	791
276	9137	758
277	9171	725
278	9204	692
279	9237	659
280	9271	626
281	9307	594
282	9342	561
283	9375	528
284	9408	495
285	9441	462
286	9474	429
287	9507	396
288	9539	363
289	9572	330
290	9606	297
291	9638	264
292	9672	231
293	9704	198
294	9738	165
295	9771	132
296	9804	99
297	9835	66
298	9870	33
299	9901	0
